SP,b0,a0,a1
60.0,0.183032820182,-0.746862590222,-0.100888569355
60.0,0.179393668738,-0.732456667272,-0.118585721278
60.0,0.178804670169,-0.73327967806,-0.118300917753
60.0,0.178275206897,-0.731409594047,-0.120664264512
60.0,0.179913518499,-0.73327812505,-0.117044544765
60.0,0.172113105343,-0.768490144566,-0.0876974087966
60.0,0.180201898099,-0.765332962296,-0.0843618830603
60.0,0.180617382094,-0.768548412599,-0.0808259588843
60.0,0.180600280752,-0.768334179942,-0.0812875304749
60.0,0.183690077534,-0.756973591268,-0.0896799362496
60.0,0.184179721058,-0.750091572787,-0.0962379795235
60.0,0.183065933023,-0.742006507986,-0.105117624758
60.0,0.185629402474,-0.732179678059,-0.113326808424
60.0,0.189540946521,-0.707255738776,-0.134698273249
60.0,0.188023419621,-0.68612061559,-0.157292327103
60.0,0.188037286622,-0.698781248725,-0.144846903646
60.0,0.19319241714,-0.699852705928,-0.139127974838
60.0,0.1921891538,-0.720341192962,-0.11921060718
60.0,0.201158032901,-0.728295457928,-0.104198974443
60.0,0.200890943543,-0.760021076967,-0.0730266461781
60.0,0.211626607536,-0.764852949325,-0.0587970408349
60.0,0.211598360932,-0.746860387355,-0.0769763469769
60.0,0.210745148904,-0.739767454983,-0.0846761954927
60.0,0.210616678395,-0.741981441767,-0.0824739073509
60.0,0.206022634137,-0.739087822894,-0.0886220442508
60.0,0.203648482775,-0.742978730173,-0.0866265841623
60.0,0.205176837006,-0.74741334824,-0.0809691349426
60.0,0.206981668996,-0.756215137295,-0.0708797760676
60.0,0.204266685977,-0.765620493864,-0.0640738407721
60.0,0.204657793434,-0.765535336958,-0.0638154923857
60.0,0.205666740626,-0.769387936308,-0.0590608408504
60.0,0.205436501023,-0.766915307341,-0.0618386775295
60.0,0.206135395293,-0.76288078064,-0.0650898242596
60.0,0.207074230401,-0.753328247532,-0.0740731560647
60.0,0.207324657983,-0.730516123167,-0.0963053178908
60.0,0.204738648716,-0.753783848548,-0.0749071776719
60.0,0.207077677527,-0.755626772236,-0.0711884750487
60.0,0.209121417041,-0.765701788213,-0.059537980163
60.0,0.208773103897,-0.767401677404,-0.0582048083341
60.0,0.210457118618,-0.769247765099,-0.0547871854039
60.0,0.21099524373,-0.754875252166,-0.0690282169695
60.0,0.212045554721,-0.746548900862,-0.0763629727092
60.0,0.208304541479,-0.720180827355,-0.106210463067
60.0,0.210917718222,-0.709985223808,-0.114065635788
60.0,0.206346261282,-0.674295440799,-0.153941671858
60.0,0.20946684991,-0.65833480096,-0.167094360922
60.0,0.210155786655,-0.664978789705,-0.159814853013
60.0,0.207326112393,-0.658655179307,-0.168285399325
60.0,0.204694225718,-0.660739390661,-0.168254809227
60.0,0.19830635231,-0.652491557174,-0.181581175039
60.0,0.198157315386,-0.652475421212,-0.181716808679
60.0,0.189266368743,-0.624725466688,-0.216481251027
60.0,0.194042107877,-0.617030004855,-0.220320025592
60.0,0.199245817341,-0.647137407693,-0.186086691705
60.0,0.192932144924,-0.64973785738,-0.189102261356
60.0,0.173257601966,-0.649697640641,-0.20613291336
60.0,0.195291355969,-0.651642078396,-0.185429533703
60.0,0.203628208207,-0.726256869524,-0.103467313565
60.0,0.208227050247,-0.724998890379,-0.101035583665
60.0,0.208459345472,-0.726402717154,-0.0994519548866
60.0,0.208879133562,-0.728555121918,-0.0966448192748
