SP,b0,a0,a1
40.0,0.161409715797,-0.451957724645,-0.315279296648
40.0,0.160432824388,-0.452857775281,-0.316258944518
40.0,0.159414369942,-0.453935574024,-0.316921413785
40.0,0.159279146736,-0.45393065469,-0.317162613576
40.0,0.159534906749,-0.454164651757,-0.316307222291
40.0,0.159711748839,-0.45390150667,-0.316399355036
40.0,0.159738538305,-0.453999133809,-0.316288109411
40.0,0.159755628688,-0.4539741417,-0.31633248116
40.0,0.159631584141,-0.453409724509,-0.316663961463
40.0,0.0473179860696,-0.632570552255,-0.269064263878
40.0,0.161526855358,-0.158611226937,-0.579681676031
40.0,0.342843597173,-0.38537569263,-0.0942462856017
40.0,0.342879530697,-0.386496253201,-0.0941988607981
40.0,0.341773559313,-0.387826382183,-0.0960673193018
40.0,0.339747924856,-0.38941842512,-0.0992994005043
40.0,0.336764181202,-0.391405088585,-0.103933998986
40.0,0.333214274843,-0.393869047907,-0.108899695791
40.0,0.329223077908,-0.396090547236,-0.114827394997
40.0,0.325094126744,-0.398651811678,-0.120602780045
40.0,0.320794123077,-0.401246976742,-0.126577300046
40.0,0.317100214326,-0.40351986192,-0.131591576899
40.0,0.314015504922,-0.405042486605,-0.136331844601
40.0,0.311686804867,-0.406623511083,-0.139673413429
40.0,0.310140733732,-0.407650285049,-0.14206246653
40.0,0.30924534436,-0.408267967608,-0.143695153619
40.0,0.30888964639,-0.408675059029,-0.144408130194
40.0,0.308833853437,-0.408793100725,-0.144649625776
40.0,0.308850523681,-0.408814022192,-0.144672605329
40.0,0.30865974761,-0.408712649504,-0.144716773886
40.0,0.30826207705,-0.408723942722,-0.144878492969
40.0,0.307677140075,-0.408622518997,-0.145348207652
40.0,0.307088246892,-0.408554592763,-0.14580028143
40.0,0.306073286954,-0.408376982,-0.146614064711
40.0,0.3051448431,-0.408573964199,-0.147138188005
40.0,0.303877285741,-0.408332700197,-0.148364710884
40.0,0.302616201181,-0.40856358405,-0.149147172583
40.0,0.301795043145,-0.408567631318,-0.149837818972
40.0,0.30121426187,-0.408389553456,-0.150404010185
40.0,0.300953146561,-0.408354783577,-0.150551125039
40.0,0.300798975893,-0.408271070987,-0.150644203817
40.0,0.300722842179,-0.408234516408,-0.15064374514
40.0,0.300692198347,-0.408211682419,-0.150637742912
40.0,0.300736956529,-0.408264540831,-0.15066736567
40.0,0.300733431691,-0.408471270878,-0.150766754552
40.0,0.300595899305,-0.408721429632,-0.15106593778
40.0,0.300343511244,-0.408994558525,-0.151587784125
40.0,0.299950307861,-0.409399013742,-0.152294016577
40.0,0.299389527315,-0.409929091665,-0.153169608918
40.0,0.298823217225,-0.410371625065,-0.154050275479
40.0,0.298258364894,-0.410715779275,-0.155069986392
40.0,0.297580797998,-0.411324020246,-0.156120661316
40.0,0.296726526003,-0.412108698798,-0.157241737783
40.0,0.296028370851,-0.41257867585,-0.1582645336
40.0,0.29550728958,-0.412823962074,-0.159234491211
40.0,0.295208270475,-0.413106379656,-0.1597301005
40.0,0.2951204386,-0.413182224053,-0.159924649399
40.0,0.295107585302,-0.413223975168,-0.160123139392
40.0,0.295117429338,-0.413413238848,-0.160152704706
40.0,0.295106665403,-0.413468026666,-0.160193705364
40.0,0.295096678629,-0.413450600151,-0.160141231849
40.0,0.294955963153,-0.413454522092,-0.160130878099
40.0,0.294758168995,-0.413471542136,-0.160234760228
40.0,0.294656080621,-0.413446337702,-0.160327485302
40.0,0.294491568585,-0.413360670935,-0.160477688505
40.0,0.294121990111,-0.413375734437,-0.160616037839
40.0,0.293886149851,-0.413463153762,-0.160724052374
40.0,0.293477554089,-0.413232689402,-0.161246397858
40.0,0.293137358234,-0.413353051306,-0.161365999418
40.0,0.292944794088,-0.413331210864,-0.161536574056
40.0,0.292837433063,-0.413282690968,-0.161636127381
40.0,0.292709781535,-0.413235849974,-0.161685180128
40.0,0.292651051755,-0.41324729139,-0.161691674675
40.0,0.292661796169,-0.413256095969,-0.161682686048
40.0,0.292640857014,-0.413195680458,-0.161670625811
40.0,0.292671258644,-0.413180213323,-0.161713044327
40.0,0.292676080472,-0.413222095071,-0.161704215449
40.0,0.292652927892,-0.413261445495,-0.161848277919
40.0,0.292559945215,-0.413462965485,-0.16197593845
40.0,0.292378326786,-0.413630080107,-0.162267371261
40.0,0.292098821454,-0.413830826113,-0.162738563147
40.0,0.291687376671,-0.414195214653,-0.163277641281
40.0,0.291194514203,-0.414534430252,-0.16394086839
40.0,0.290833546513,-0.414728486141,-0.164475337043
40.0,0.290529516393,-0.414844713871,-0.165030074356
40.0,0.290233075957,-0.415117310587,-0.165443611623
40.0,0.290002057969,-0.41531215116,-0.165753384108
40.0,0.289893925378,-0.415358304824,-0.165967881979
40.0,0.289865540712,-0.415384215225,-0.166050116399
40.0,0.289866037518,-0.415408284603,-0.166084042596
40.0,0.289891185457,-0.415486621942,-0.166112321898
40.0,0.29000650586,-0.415027215561,-0.166048101096
40.0,0.290010975389,-0.415020356964,-0.166050555562
40.0,0.290134706379,-0.415175731676,-0.16577712885
40.0,0.29015051946,-0.41523230953,-0.165772255595
40.0,0.29014668657,-0.415243380973,-0.165779791183
40.0,0.290153286913,-0.415241467891,-0.165712620968
40.0,0.290252280364,-0.415198877614,-0.165763663323
40.0,0.290348075642,-0.414691634519,-0.165908237808
