SP,b0,a0,a1
20.0,0.0659836406022,-0.952736704927,0.0587423139707
20.0,0.0653046677313,-0.945075960377,0.0498831186256
20.0,0.0666101482379,-0.954009303695,0.061536239967
20.0,0.0671981991006,-0.939759066461,0.0478512842726
20.0,0.0677395726661,-0.949472486317,0.0582814161637
20.0,0.0678598716477,-0.949689014293,0.0587667856044
20.0,0.0681636039797,-0.954315106399,0.0641216212041
20.0,0.0678410835771,-0.956210983387,0.0657315984073
20.0,0.0686031855957,-0.959373228879,0.0699138078652
20.0,0.0684009432218,-0.955918340546,0.0662146764845
20.0,0.0683771108736,-0.952604052499,0.0623823128008
20.0,0.0692718178139,-0.939213243775,0.0509232545312
20.0,0.0692810946053,-0.939499996461,0.0512292092944
20.0,0.0685721696854,-0.933111214173,0.0439077468254
20.0,0.0690011361143,-0.934189790709,0.0455240635077
20.0,0.069297891853,-0.939142294449,0.0508157596135
20.0,0.0692954510657,-0.939147919041,0.050815488162
20.0,0.0693348666063,-0.939518517099,0.0512719123432
20.0,0.0691925679373,-0.937326018793,0.0485567797632
20.0,0.0698356252838,-0.93095645526,0.0436056306339
20.0,0.0697467017251,-0.926611124442,0.039036952075
20.0,0.0695464651238,-0.924217792644,0.0363841515802
20.0,0.0702893774325,-0.926208553042,0.0388570068273
20.0,0.0717433372309,-0.906539699716,0.021920696804
20.0,0.0729715978036,-0.925720012397,0.0432521034978
20.0,0.0726983530639,-0.925140820732,0.0423214444812
20.0,0.0738319623948,-0.932519799495,0.0512516281609
20.0,0.0736598947429,-0.925658838218,0.0442797345272
20.0,0.0738914193979,-0.930911839921,0.050065844805
20.0,0.0740136997232,-0.931069799367,0.0503757493206
20.0,0.0743570658042,-0.934810416741,0.0545527781224
20.0,0.0744870195564,-0.922137024516,0.0429671471381
20.0,0.0783394761947,-0.872537790859,-0.00113659873836
20.0,0.0717685648965,-0.756024467728,-0.12751327521
20.0,0.0706558698474,-0.697657158368,-0.188289118239
20.0,0.0718733708011,-0.725205401932,-0.159032349242
20.0,0.0693349965826,-0.710946756718,-0.177619466266
20.0,0.0773680671492,-0.742141313308,-0.132439259617
20.0,0.0791650688162,-0.696918726144,-0.17530081918
20.0,0.0804972553038,-0.712799424491,-0.157390409983
20.0,0.0782030226978,-0.698166473756,-0.176094650952
20.0,0.080934106992,-0.697953280622,-0.17139739771
20.0,0.0821826611757,-0.73488614328,-0.13187773049
20.0,0.0906980313739,-0.756836034083,-0.0969212393819
20.0,0.090691738503,-0.756715587156,-0.097050629731
20.0,0.0904114302175,-0.754756622615,-0.0994987569244
20.0,0.0903324060793,-0.754434634667,-0.0999843768292
20.0,0.0903011756059,-0.754300631147,-0.100186441354
20.0,0.0905327110882,-0.755402367508,-0.098525662123
20.0,0.0906061078275,-0.754573695786,-0.0993095562928
20.0,0.0901259578474,-0.749543959896,-0.104896925102
20.0,0.08996638143,-0.750954413189,-0.103636873368
20.0,0.090616805876,-0.753880746031,-0.0997964321777
20.0,0.0901499941639,-0.746052721047,-0.108063734945
20.0,0.0901516112542,-0.746023691645,-0.108091254324
20.0,0.0941706119983,-0.774196735305,-0.0741490589444
20.0,0.0954280424743,-0.764968231167,-0.0811325193952
20.0,0.0986791009836,-0.793273308374,-0.0472905701028
20.0,0.0992108645777,-0.791224188404,-0.0486704532537
20.0,0.0990384793208,-0.788997137308,-0.0511240113754
20.0,0.0990700788912,-0.789355171435,-0.0506921052253
20.0,0.0993540037244,-0.790419173143,-0.0494752977877
20.0,0.101546487782,-0.771184334278,-0.0642877149175
20.0,0.103361124653,-0.719198701427,-0.113929859654
20.0,0.10489240807,-0.73721144332,-0.0935795756561
20.0,0.10552737996,-0.740226270969,-0.0894697504845
20.0,0.106170173471,-0.745059621253,-0.0834072961121
20.0,0.10531756541,-0.747887545426,-0.0815800928029
20.0,0.109383680402,-0.750836016065,-0.0725422386156
20.0,0.109359714148,-0.750375285859,-0.0730358589229
20.0,0.107750586152,-0.740852693172,-0.0853642403667
20.0,0.108780805873,-0.740598298683,-0.0837184477376
20.0,0.109258815919,-0.748801565399,-0.0745520193916
20.0,0.110400079716,-0.751343628935,-0.070343071458
20.0,0.110252908649,-0.749535210931,-0.0723453708881
20.0,0.110444694518,-0.751180634341,-0.0702988913175
20.0,0.110379681547,-0.751256067062,-0.070289307203
20.0,0.110767867479,-0.752798343625,-0.068253742898
20.0,0.110699974282,-0.757206232536,-0.0642043489072
20.0,0.110844833802,-0.757257954762,-0.063897387952
20.0,0.112147783872,-0.765194031742,-0.0536815012204
20.0,0.111995269718,-0.76775410688,-0.0512373122459
20.0,0.10929976859,-0.760557837446,-0.0623872790988
20.0,0.115129144975,-0.761754329194,-0.0522632496929
20.0,0.116129367317,-0.779871688669,-0.0326892119294
20.0,0.120871690491,-0.797390381904,-0.00713186004281
20.0,0.120583246949,-0.789658125541,-0.0154400852093
20.0,0.12235086386,-0.80403066794,0.00151319135273
20.0,0.122843371573,-0.802138196351,0.000521326298468
20.0,0.124847198438,-0.81802490749,0.0199427592842
20.0,0.126262716573,-0.812295883741,0.0162306642752
20.0,0.125945693205,-0.808075754537,0.0115554943099
20.0,0.125929325199,-0.807955616287,0.0114050664123
20.0,0.12592413159,-0.807683748557,0.0115607183315
20.0,0.127981915837,-0.797757972747,0.00469298474191
20.0,0.117083833979,-0.691548979534,-0.11809004901
20.0,0.123270973982,-0.647203267545,-0.1528311613
20.0,0.141773366168,-0.780859189383,0.0101441802924
20.0,0.13987378661,-0.783053928575,0.00912080045675
20.0,0.13714497315,-0.773016025651,-0.00547023330876
20.0,0.135477941983,-0.767643065094,-0.0136752457818
20.0,0.138805933762,-0.77613714233,0.000562483394052
20.0,0.138823579745,-0.794901705628,0.0196992356998
20.0,0.133777312486,-0.789418485772,0.00641686943687
20.0,0.137654185335,-0.796652090883,0.0197123631538
20.0,0.139404847617,-0.811494730714,0.0372123821713
20.0,0.139062803097,-0.811946177714,0.0370427049391
20.0,0.136008085575,-0.802149639812,0.0219073951082
20.0,0.141954313197,-0.797627072109,0.027518861615
20.0,0.142787649218,-0.817360779536,0.0487900995168
20.0,0.151991674934,-0.838815898432,0.0844621249555
20.0,0.152251083856,-0.814242328605,0.0605518564503
20.0,0.153417341374,-0.822499184046,0.0707924422373
20.0,0.152512905152,-0.825154594712,0.0723667442363
20.0,0.152775312134,-0.82481671101,0.0724289107802
20.0,0.157530463943,-0.847580773826,0.102509915251
20.0,0.15879326214,-0.825266830302,0.0826738652451
20.0,0.155762943098,-0.76041453771,0.0120984487487
20.0,0.154001630047,-0.790666520542,0.0391904299445
20.0,0.168543514925,-0.826408699045,0.0989884058673
20.0,0.167089686466,-0.806091561341,0.0761409988942
20.0,0.165466934218,-0.796212533481,0.063840395037
20.0,0.165367727384,-0.796438283576,0.0639270429327
20.0,0.163226385023,-0.789312372425,0.0536204482772
20.0,0.168593866217,-0.78614738211,0.0585662853092
20.0,0.168567389178,-0.791895055107,0.0642036891945
20.0,0.17267549685,-0.804577385718,0.0837834079198
20.0,0.174873016423,-0.847746321791,0.131347391634
20.0,0.193224925168,-0.811829993253,0.124308407376
20.0,0.190908492239,-0.789625292149,0.0984905653335
20.0,0.188837943787,-0.781933758709,0.0872772946292
20.0,0.18911526308,-0.78210306167,0.08793375249
20.0,0.188842166851,-0.780955388085,0.0862977920823
20.0,0.188758214221,-0.780891532,0.0860532946511
20.0,0.189528800255,-0.781506240023,0.0882653403829
20.0,0.190467027669,-0.776478887304,0.0845928472844
20.0,0.187466247225,-0.758490398209,0.0621036790749
20.0,0.188488778179,-0.753619429818,0.0587163533883
20.0,0.18776792172,-0.748656302096,0.0526840197276
20.0,0.187991149064,-0.751521152965,0.0560966921799
20.0,0.186159697013,-0.754134280516,0.0560544938107
20.0,0.184266102843,-0.754077115948,0.053057764867
20.0,0.186289095937,-0.758659457648,0.0607980098757
20.0,0.187340263236,-0.768495480146,0.0720993762572
20.0,0.182055581193,-0.772870464443,0.0674256511444
20.0,0.19042406275,-0.773433166967,0.0818786032184
20.0,0.198981274162,-0.834063320612,0.156915013583
20.0,0.212140483333,-0.805999131376,0.149448467622
20.0,0.210786670253,-0.786724511373,0.128120430122
20.0,0.212875367704,-0.794503574746,0.139424142049
