SP,b0,a0,a1
50.0,0.130531167705,-1.00441172955,0.114260528241
50.0,0.128089486025,-0.973594380274,0.0806050183088
50.0,0.127070514229,-0.981404753856,0.0875012750697
50.0,0.133339646108,-1.02772964978,0.1395468374
50.0,0.130077401439,-1.06669037265,0.176052895533
50.0,0.131213418943,-1.06780733451,0.178062544429
50.0,0.113347399572,-0.933219135642,0.0298513447172
50.0,0.149332104484,-0.809300950873,-0.0645864475671
50.0,0.121121142552,-0.386779841268,-0.509252306536
50.0,0.120935348404,-0.388995471191,-0.507183811595
50.0,0.153784409003,-0.557882516981,-0.311477086053
50.0,0.151124839619,-0.566391908778,-0.30545582289
50.0,0.149499995898,-0.562413830182,-0.310916163841
50.0,0.155833925931,-0.570071259622,-0.29714434256
50.0,0.163417465655,-0.535234354424,-0.325969574509
50.0,0.167019088523,-0.587522486525,-0.271018123047
50.0,0.165430919977,-0.585384608584,-0.274586513429
50.0,0.166653671961,-0.588005633927,-0.270833201552
50.0,0.166947791288,-0.592490841844,-0.265933346964
50.0,0.174041511021,-0.58712265426,-0.266076673113
50.0,0.181683797908,-0.549389490534,-0.29704600438
50.0,0.191613156924,-0.631053333945,-0.206514271182
50.0,0.19598010602,-0.631364821796,-0.202671037107
50.0,0.194735354706,-0.62312188724,-0.211875786159
50.0,0.194670164001,-0.623683513216,-0.211351164219
50.0,0.194935869986,-0.62448972252,-0.210350557894
50.0,0.196071520837,-0.633082015236,-0.201492584436
50.0,0.214628821239,-0.584125396249,-0.234346470159
50.0,0.230645847568,-0.727998066163,-0.0763385401445
50.0,0.232759556425,-0.727293549699,-0.0752972111878
50.0,0.22352820028,-0.695922420432,-0.114253379193
50.0,0.246491929802,-0.683371106409,-0.108159286138
50.0,0.229717205182,-0.816937254249,0.0106105636851
50.0,0.290817314225,-0.865320799924,0.111398234598
50.0,0.27918637376,-0.741753344604,-0.0224408358024
50.0,0.281935328775,-0.774213164916,0.0120716028432
50.0,0.266211263291,-0.776637111482,0.000665055813909
50.0,0.29778727477,-0.758108299663,0.00926282521384
50.0,0.295219688696,-0.726920775637,-0.0242274869981
50.0,0.282857875732,-0.68510558179,-0.0760171503468
50.0,0.253145148726,-0.732383248848,-0.0531103157965
50.0,0.262817074737,-0.732224663269,-0.0451853665364
50.0,0.273456291677,-0.763956730371,-0.00460474387004
50.0,0.272805043049,-0.750434893684,-0.01848549992
50.0,0.276005885763,-0.720684669886,-0.0459822061749
50.0,0.292076172531,-0.654213505825,-0.0983928852972
50.0,0.288606772572,-0.579910058047,-0.175970554675
50.0,0.289439419514,-0.596490525995,-0.158779052914
50.0,0.303235646617,-0.615784663331,-0.127549316008
50.0,0.299281408612,-0.647224222936,-0.0991176246841
50.0,0.312700244724,-0.645710030983,-0.0894306244628
50.0,0.324843571641,-0.699342439534,-0.025815780066
50.0,0.341869315472,-0.684638275815,-0.0258309030917
50.0,0.335665242585,-0.636076934517,-0.0798879598158
50.0,0.337741056813,-0.59421361699,-0.119697914269
50.0,0.340438548484,-0.536881474425,-0.175060927057
50.0,0.340139474973,-0.489828850562,-0.222154128348
50.0,0.330391621185,-0.432440560886,-0.288072574308
50.0,0.327272345718,-0.479438744839,-0.243957278198
50.0,0.42340230993,-0.531043506793,-0.110437064455
50.0,0.422581735095,-0.537454341985,-0.104699518643
50.0,0.425714746837,-0.541404515867,-0.0981174950253
50.0,0.406681144049,-0.51822119991,-0.136860226071
50.0,0.443438819229,-0.479418611701,-0.144741216094
50.0,0.471039314327,-0.548926569819,-0.0520532817723
50.0,0.53144406404,-0.551147819408,0.00193760648623
50.0,0.523547465185,-0.611185649963,0.0555065483184
50.0,0.343143521531,-0.523209908097,-0.184567011405
50.0,0.35149905671,-0.519197034352,-0.181505961029
50.0,0.422157008636,-0.639490852476,-0.0014638195564
50.0,0.410559488852,-0.685648579282,0.034474379427
50.0,13.0835695422,1.42012034898,8.8088338451
50.0,13.0818189592,-0.355376703032,10.5841233612
50.0,1.23994602728,0.0633787934186,0.0922266825407
50.0,1.24067163347,0.0619349132557,0.0907423894751
50.0,1.24080115277,0.0595855038456,0.0881050755313
50.0,1.23815085992,0.0551726823959,0.0841812089991
50.0,1.23107043493,0.048487684514,0.0770360210773
